LOOP		PDB1		CLASS1		PDB2		CLASS2		LOOPDEF		CA-RMS
L2		1dqj		7A		1bm3		7A		L50-L56		0.448
L2		2fat		7A		1e6o		7A		L50-L56		0.125
L2		4fab		7A		1a4j		7A		L50-L56		0.356
L2		1f4w		7A		1f4y		7A		L50-L56		0.153
L2		1clz		7A		1a4j		7A		L50-L56		0.250
L2		2exy		7A		2fed		7A		L50-L56		0.258
L2		2dqd		7A		1bm3		7A		L50-L56		0.567
L2		1mfc		7A		2ntf		7A		L50-L56		0.215
L2		1u95		7A		1u8o		7A		L50-L56		0.001
L2		1ndg		7A		1bm3		7A		L50-L56		0.418
L2		1iqw		7A		1it9		7A		L50-L56		0.238
L2		25c8		7A		1wcb		7A		L50-L56		0.125
L2		1cu4		7A		1cr9		7A		L50-L56		0.175
L2		2ih1		7A		2ih3		7A		L50-L56		0.106
L2		3eo0		7A		3eo1		7A		L50-L56		0.566
L2		2jix		7A		1dee		7A		L50-L56		0.203
L2		2r56		7A		1dee		7A		L50-L56		0.099
L2		1tpx		7A		1tqb		7A		L50-L56		0.062
L2		1riu		7A		1qyg		7A		L50-L56		0.116
L2		1f90		7A		2c1o		7A		L50-L56		0.180
L2		1e4x		7A		1e4w		7A		L50-L56		0.063
L2		1bog		7A		1hi6		7A		L50-L56		0.206
L2		1q72		7A		1qyg		7A		L50-L56		0.070
L2		1dvf_2		7A		2a6d		7B		L50-L56		1.943
L2		2eh8		7A		2c1o		7A		L50-L56		0.125
L2		1dqm		7A		1bm3		7A		L50-L56		0.703
L2		2r1x		7A		1il1		7A		L50-L56		0.129
L2		1g9m		7A		2ny1		7A		L50-L56		0.100
L2		1u8i		7A		1u8o		7A		L50-L56		0.001
L2		2hwz		7A		1z3g		7A		L50-L56		0.344
L2		1mh5		7A		1mj8		7A		L50-L56		0.837
L2		2dd8		7A		2g75		7A		L50-L56		0.205
L2		3e8u		7A		1it9		7A		L50-L56		0.303
L2		1bz7		7A		3cmo		7A		L50-L56		0.275
L2		1qle		7A		1mqk		7A		L50-L56		0.222
L2		1b2w		7A		1kcv		7A		L50-L56		0.317
L2		1aj7		7A		2rcs		7A		L50-L56		0.178
L2		1cic_1		7A		1ztx		7A		L50-L56		0.225
L2		2agj		7A		1u6a		7A		L50-L56		0.320
L2		2vir		7A		1gig		7A		L50-L56		0.329
L2		1mam		7A		2a6d		7B		L50-L56		1.984
L2		3gi9		7A		3gi8		7A		L50-L56		0.128
L2		3cfj		7A		3cfk		7A		L50-L56		0.083
L2		2zpk		7A		1etz		7A		L50-L56		0.281
L2		3f58		7A		1f58		7A		L50-L56		0.192
L2		1qlr		7A		1dn0		7A		L50-L56		0.201
L2		1j05		7A		1ejo		7A		L50-L56		0.177
L2		1igc		7A		1kcv		7A		L50-L56		0.338
L2		1ors		7A		1wcb		7A		L50-L56		0.329
L2		2o5y		7A		1a4j		7A		L50-L56		0.226
L2		2r0w		7A		1a4j		7A		L50-L56		0.134
L2		1fj1		7A		2adf		7A		L50-L56		0.254
L2		1jnl		7A		1jnn		7A		L50-L56		0.250
L2		2gfb		7A		2rcs		7A		L50-L56		0.200
L2		1mrd		7A		1a4j		7A		L50-L56		0.195
L2		2hfg		7A		2qqk		7A		L50-L56		0.217
L2		1mlb		7A		1mlc		7A		L50-L56		0.369
L2		2f58		7A		1f58		7A		L50-L56		0.207
L2		1cf8		7A		1wcb		7A		L50-L56		0.166
L2		2htk		7A		2fed		7A		L50-L56		0.219
L2		1ehl		7A		1a4j		7A		L50-L56		0.203
L2		1r3l		7A		2ih3		7A		L50-L56		0.147
L2		1yec		7A		2c1o		7A		L50-L56		0.235
L2		1ngp		7A		1gig		7A		L50-L56		0.249
L2		1xf5		7A		1il1		7A		L50-L56		0.252
L2		1fig		7D		1wcb		7A		L50-L56		0.594
L2		1ru9		7A		1ncw		7A		L50-L56		0.120
L2		1oax		7A		1gig		7A		L50-L56		0.228
L2		3d0v		7A		1u8o		7A		L50-L56		0.144
L2		1xiw		7A		2a6d		7B		L50-L56		1.892
L2		1ic7		7A		1bm3		7A		L50-L56		0.632
L2		2gk0		7A		1a4j		7A		L50-L56		0.340
L2		3bz4		7A		3c5s		7A		L50-L56		0.192
L2		1dbj		7A		1dbm		7A		L50-L56		0.157
L2		3bkc		7A		3bkj		7A		L50-L56		0.089
L2		1sm3		7A		1gig		7A		L50-L56		0.244
L2		1ggb		7A		1ggi		7A		L50-L56		0.218
L2		1a14		7A		1nmb		7A		L50-L56		0.258
L2		1mnu		7A		1a4j		7A		L50-L56		0.157
L2		1wej		7A		1jhk		7A		L50-L56		0.129
L2		3g6a		7A		3g6d		7A		L50-L56		0.240
L2		2ajz		7A		2ajx		7A		L50-L56		0.122
L2		1q9v		7A		1il1		7A		L50-L56		0.114
L2		1i9j		7A		1a4j		7A		L50-L56		0.199
L2		1axt		7A		1a4j		7A		L50-L56		0.290
L2		1q0x		7A		1gig		7A		L50-L56		0.361
L2		1t3f		7A		1kcv		7A		L50-L56		0.100
L2		1fai		7A		2a6d		7B		L50-L56		1.768
L2		1s5h		7A		2ih3		7A		L50-L56		0.142
L2		2dqe		7A		1bm3		7A		L50-L56		0.632
L2		3bdy		7A		3be1		7A		L50-L56		0.139
L2		2adg		7C		1i8i		7C		L50-L56		0.254
L2		1bj1		7A		1cz8		7A		L50-L56		0.161
L2		1ngx		7A		3gk8		7A		L50-L56		0.243
L2		2h2p		7A		2fed		7A		L50-L56		0.424
L2		2r2b		7A		1il1		7A		L50-L56		0.127
L2		1lo0		7A		1a4j		7A		L50-L56		0.176
