LOOP		PDB1		CLASS1		PDB2		CLASS2		LOOPDEF		CA-RMS
L2		1jhl		7A		3eoa		7A		L50-L56		0.250
L2		2v7h		7B		1nmb		7A		L50-L56		2.033
L2		1mfe		7A		2ntf		7A		L50-L56		0.245
L2		2dqu		7A		1a4j		7A		L50-L56		0.080
L2		2j5l		7A		1ad0		7A		L50-L56		0.312
L2		1zlw		7A		1zlu		7A		L50-L56		0.269
L2		1yee		7A		2c1o		7A		L50-L56		0.152
L2		2htl		7A		2fed		7A		L50-L56		0.238
L2		1u8p		7A		1u8o		7A		L50-L56		0.001
L2		2vwe		7A		1e4w		7A		L50-L56		0.615
L2		1cft		7A		1hi6		7A		L50-L56		0.193
L2		1q9l		7A		1il1		7A		L50-L56		0.201
L2		2i60		7A		2ny1		7A		L50-L56		0.176
L2		1dqq		7A		1bm3		7A		L50-L56		0.589
L2		1mj7		7A		1mj8		7A		L50-L56		0.171
L2		1k4c		7A		2ih3		7A		L50-L56		0.051
L2		2h9g		7A		2qqk		7A		L50-L56		0.095
L2		2qql		7A		2qqk		7A		L50-L56		0.113
L2		1qfw_1		7A		1ejo		7A		L50-L56		0.623
L2		1jpt		7A		1jps		7A		L50-L56		0.125
L2		1acy		7A		1ai1		7A		L50-L56		0.131
L2		1oaq		7A		1gig		7A		L50-L56		0.162
L2		2fjg		7A		2qqk		7A		L50-L56		0.301
L2		1tzg		7A		2fx9		7A		L50-L56		0.228
L2		1q9q		7A		1il1		7A		L50-L56		0.125
L2		1qbm		7A		1jhk		7A		L50-L56		0.198
L2		3hi6		7A		1dee		7A		L50-L56		0.131
L2		1cbv		7A		1a4j		7A		L50-L56		0.268
L2		2w60		7A		2c1o		7A		L50-L56		0.284
L2		2w9d		7A		1z3g		7A		L50-L56		0.261
L2		35c8		7A		1wcb		7A		L50-L56		0.126
L2		1lo3		7A		1a4j		7A		L50-L56		0.113
L2		1i8m		7A		1p7k		7A		L50-L56		0.241
L2		1bbj		7A		3dsf		7A		L50-L56		0.290
L2		1ay1		7A		1bgx		7D		L50-L56		0.949
L2		1q9t		7A		1il1		7A		L50-L56		0.128
L2		1ktr		7A		1a4j		7A		L50-L56		0.176
L2		1j1p		7A		1bm3		7A		L50-L56		0.633
L2		1uj3		7A		1k6q		7A		L50-L56		0.169
L2		2bfv		7A		1a4j		7A		L50-L56		0.289
L2		2fx7		7A		2fx9		7A		L50-L56		0.197
L2		2hjf		7A		2ih3		7A		L50-L56		0.271
L2		2pw1		7A		1u8o		7A		L50-L56		0.120
L2		2qhr		11A		2gsg		11A		L50-L56		0.169
L2		2v17		7A		3eoa		7A		L50-L56		0.193
L2		3eys		7A		1a4j		7A		L50-L56		0.104
L2		3cle		7A		3clf		7A		L50-L56		0.063
L2		1f8t		7A		2c1o		7A		L50-L56		0.162
L2		1rfd		7A		1qyg		7A		L50-L56		0.141
L2		2ny6		7A		2ny1		7A		L50-L56		0.156
L2		2ipu		7A		1a4j		7A		L50-L56		0.113
L2		1j1x		7A		1bm3		7A		L50-L56		0.631
L2		1ob1		7A		1seq		7A		L50-L56		0.181
L2		1rhh		7A		2ny1		7A		L50-L56		0.105
